DATE,TARGET,epeRes,epeCom,epeInd,expQ,impQ,expBasic,expSemi,expManuf,expAgroDolar,anfaveaProd,anfaveaLic,cagedTransf,cagedConstr,cagedCom,cagedServ,ipa,cambio,poup,m1,m2,ibov,embi,RecRFBIPCA,
Jan-96,96.84,5851,2951,8753,34.46,52.16,22.82,53.76,33.56,115.914,100946,105226,5982.422,2015.581,4730.099,10299.511,100.00,0.979,64902724,23481820,175037084,48309,760,42102,
Feb-96,96.84,5742,3007,9278,33.81,51.17,21.56,45.53,36.25,109.438,121248,123172,5951.516,2017.003,4720.066,10308.072,100.03,0.984,65233099,23095259,174828178,52663,863,38946,
Mar-96,96.84,5845,2956,9204,34.02,59.07,21.92,42.55,36.26,180.2097,136019,140737,5922.355,2020.226,4710.568,10306.57,99.88,0.988,65267819,22985492,175383395,49297,840,54429,
Apr-96,100.12,5876,3041,9539,42.08,61.83,37.31,55.51,39.86,379.7159,130698,136759,5934.785,2030.111,4716.401,10331.354,100.25,0.993,65114540,23276407,173647972,50171,763,41602,
May-96,100.12,5676,2885,9623,44.35,64.43,38.06,58.86,42.23,329.6451,142309,151333,5970.066,2037.631,4727.189,10350.637,100.48,0.998,64692969,22761723,172226628,54828,748,42501,
Jun-96,100.12,5628,2797,9833,37.87,63.32,35.18,52.72,34.43,287.6253,121143,129247,5981.711,2042.088,4744.997,10357.414,100.87,1.004,64510539,23513221,173468300,57865,687,41610,
Jul-96,107.56,5547,2647,9655,44.06,75.8,38.16,63.73,41.01,332.1776,153931,155654,5978.544,2045.562,4743.8,10360.473,101.00,1.011,64278981,23107137,172412324,62722,681,43255,
Aug-96,107.56,5679,2796,10390,43.55,72.54,38.03,62.14,40.9,351.0294,161906,166051,5971.993,2045.417,4743.645,10365.96,101.45,1.017,64236000,23477144,173006068,62498,610,42752,
Sep-96,107.56,5769,2813,10187,40.99,72.78,34.27,62.19,38.24,266.9427,146060,161595,5989.462,2044.441,4749.235,10375.149,101.78,1.022,64726913,25143255,176993375,64350,533,44733,
Oct-96,104.31,5836,2881,10031,42.05,85.45,35.77,60.65,39.77,337.3441,148219,162308,5987.049,2038.292,4750.355,10359.381,101.99,1.028,65754075,23171129,179182481,66273,594,45014,
Nov-96,104.31,5838,2997,10076,39.12,75.38,29.99,58.13,37.87,251.6394,141674,160074,5957.158,2026.043,4767.279,10339.256,102.35,1.033,67558050,24383240,182157237,66118,546,44625,
