TARGET,epeRes,epeCom,epeInd,expQ,impQ,expBasic,expSemi,expManuf,expAgroDolar,anfaveaProd,anfaveaLic,cagedTransf,cagedConstr,cagedCom,cagedServ,ipa,cambio,poup,m1,m2,ibov,embi,RecRFBIPCA
-1.915403519,-1.365710958,-1.755983392,-2.399638746,-2.350744213,-2.065386804,-2.355904735,-1.801821088,-2.517144629,-2.283846061,-1.427023564,-1.431841059,-0.9560842956,-0.5686970845,-1.452729437,-1.360044952,-1.850210094,-2.06172272,-1.727386632,-2.214277836,-1.640026334,0.356683408,1.139715952,-2.100409297
-1.915403519,-1.43909252,-1.69651671,-2.035178226,-2.400186176,-2.115258008,-2.448902913,-2.358352068,-2.262432055,-2.341902942,-1.011353861,-1.019623936,-0.9991837276,-0.5652416303,-1.460706657,-1.356461961,-1.849686805,-2.047865857,-1.721186943,-2.233970798,-1.641275194,0.4696366216,1.346645272,-2.315114984
-1.915403519,-1.36971462,-1.750628181,-2.08528233,-2.384109436,-1.741611633,-2.421788678,-2.585078517,-2.261520878,-1.838225023,-0.7505988797,-0.6706516095,-1.04005541,-0.5574187629,-1.46827414,-1.35709037,-1.852305604,-2.038507815,-1.720537226,-2.239622879,-1.637959333,0.3831746665,1.302664904,-1.39294134
-1.741225162,-1.349073106,-1.660949886,-1.86159562,-1.832055668,-1.62276523,-1.550938655,-1.694528016,-1.948820441,-1.085578477,-0.8411156577,-0.7457088027,-1.022609128,-0.5335034908,-1.463624921,-1.346732896,-1.84586266,-2.027472362,-1.723408156,-2.224701682,-1.648358731,0.4061806197,1.146130132,-2.133354043
-1.741225162,-1.484205575,-1.827535189,-1.806738947,-1.695641223,-1.515564743,-1.518351117,-1.498257813,-1.758019964,-1.228378651,-0.6480581044,-0.48063124,-0.9732883692,-0.5153878422,-1.455041429,-1.338691515,-1.841854788,-2.01307922,-1.731339212,-2.251229185,-1.656953747,0.5223662438,1.11380351,-2.074437369
-1.741225162,-1.51734578,-1.925526948,-1.671665236,-2.105749273,-1.560792057,-1.647188713,-1.867251032,-2.432597556,-1.366080384,-1.013319038,-0.8935972169,-0.9570733039,-0.5046824765,-1.440915227,-1.335868934,-1.835064254,-1.998529094,-1.73478732,-2.212692407,-1.649441333,0.5929245355,0.9753005707,-2.132807635
-1.366405485,-1.573916094,-2.099890804,-1.785967028,-1.712674465,-1.092602349,-1.514054707,-1.232001464,-1.85486102,-1.220650091,-0.4699888128,-0.406934635,-0.9614800617,-0.4963543912,-1.441863084,-1.334595482,-1.832797803,-1.982143659,-1.739178066,-2.233360792,-1.655826804,0.6984360581,0.9610186308,-2.025995979
-1.366405485,-1.482143627,-1.92665812,-1.326912519,-1.742903238,-1.207010523,-1.519642242,-1.316625831,-1.863733738,-1.164905921,-0.3554140651,-0.2376739782,-0.9706029378,-0.4967017111,-1.44198584,-1.332312205,-1.825138595,-1.968493478,-1.739994802,-2.214514107,-1.652231646,0.6937327972,0.7817559874,-2.058222506
-1.366405485,-1.420786455,-1.907482996,-1.450369684,-1.900196329,-1.198414174,-1.690099696,-1.313931868,-2.085885556,-1.441440315,-0.5890445345,-0.3088808006,-0.9462979227,-0.4990401743,-1.437561241,-1.328491139,-1.819391041,-1.957533216,-1.73069871,-2.133172867,-1.628403249,0.7319629336,0.5620600465,-1.933409856
-1.526843098,-1.375727826,-1.831924121,-1.54692657,-1.833907364,-0.7807315891,-1.619956428,-1.397916748,-1.956287793,-1.205064292,-0.5557609523,-0.2973560967,-0.9496509613,-0.5137986938,-1.436675365,-1.335050035,-1.815905413,-1.943074833,-1.711474023,-2.230079808,-1.615548267,0.7705086083,0.7384808629,-1.916153398
-1.526843098,-1.374390757,-1.707054102,-1.51892037,-2.021432693,-1.107062867,-1.908534052,-1.540057901,-2.118004709,-1.501058996,-0.6582021456,-0.3336366458,-0.9912990987,-0.5433312748,-1.423314503,-1.343435797,-1.809636288,-1.929876927,-1.678425962,-2.169587335,-1.598329217,0.7674479308,0.6012940101,-1.940059425
-1.526843098,-1.424169995,-1.711278906,-1.599542599,-2.080505019,-0.6950508415,-2.164487027,-1.927509865,-1.921583663,-1.698142114,-1.054147029,-0.7101006661,-1.122645827,-0.6067806019,-1.44401942,-1.37351625,-1.787275438,-1.915348143,-1.589664304,-1.931286131,-1.561235633,0.814672956,0.5312233158,-0.8777353125
-1.740702903,-0.9420511147,-1.39377692,-1.9169375,-2.132626494,-2.742568831,-2.12849962,-1.34857931,-2.222576134,-1.675625259,-0.9442412158,-0.78297267,-1.139818429,-0.5920645996,-1.46244301,-1.376981453,-1.781006316,-1.899744792,-1.516627148,-1.806131551,-1.558248897,0.9501432215,0.2387324528,-1.873069215
-1.740702903,-1.154763017,-1.481006396,-1.667212616,-2.599638105,-1.390183263,-2.582558553,-2.732319903,-2.500452952,-1.600098571,-0.7455349456,-0.5726452201,-1.143229039,-0.5891686813,-1.465977107,-1.374366851,-1.774911031,-1.887241516,-1.491844068,-1.699563286,-1.538371951,1.118043951,0.170249571,-2.003872937
-1.740702903,-1.272137161,-1.578807734,-1.895137633,-2.109179562,-1.087457288,-1.758393942,-2.460683196,-2.178749814,-0.9196475695,-0.4813194001,-0.1893626217,-1.139160077,-0.5664174747,-1.457859057,-1.363291508,-1.772296158,-1.869294127,-1.471499624,-1.660541281,-1.523127783,-1.808171128,0.3537917552,-1.71931815
-1.498346485,-1.23519801,-1.565658815,-1.60080077,-1.640039504,-0.7178426573,-1.165248189,-1.629988008,-1.961275422,-0.3695186265,-0.2130805014,0.02907612883,-1.108341334,-0.53151762,-1.445492809,-1.353496872,-1.765331854,-1.858999883,-1.458614707,-1.697560884,-1.522541944,-1.758805083,0.3115916207,-1.643288166
-1.498346485,-1.229397344,-1.600164433,-1.378917475,-1.640039504,-1.00981408,-1.114716772,-1.942420617,-1.964604696,-0.3388005547,-0.3497611034,-0.09652986411,-1.054155635,-0.5147963591,-1.428155523,-1.343814948,-1.762542795,-1.841032647,-1.444978555,-1.679312823,-1.50982288,-1.628846263,0.1108943696,-1.885587591
-1.498346485,-1.222962258,-1.735681644,-1.538200089,-1.54219964,-0.8234147928,-1.181276964,-1.695131458,-1.699097048,-0.5571064887,-0.2356395701,-0.0367376123,-1.038972198,-0.4986447615,-1.407685934,-1.335022977,-1.757143036,-1.829278249,-1.428139368,-1.648144252,-1.4738043,-1.473471509,0.06180128228,-1.870601951
-1.273408858,-1.279958581,-1.750628181,-1.390465473,-1.307057758,-0.4907973381,-1.034989765,-1.23357852,-1.424232274,-0.4136155521,-0.3766117602,-0.1404377201,-1.055810923,-0.4926144775,-1.406607789,-1.335718631,-1.747747779,-1.814664811,-1.417892846,-1.710436299,-1.478377266,-1.386789642,-0.0103832176,-1.671190724
-1.273408858,-1.251356359,-1.628866189,-1.151737962,-1.395235682,-0.6979995642,-1.396917423,-1.31285489,-1.180327872,-0.6460823088,-0.1937943964,-0.02802146403,-1.071812114,-0.4914227106,-1.401027412,-1.32991621,-1.747224492,-1.796353965,-1.397081962,-1.650223956,-1.451100306,-1.506426567,0.04090072945,-1.861305557
-1.273408858,-1.170591041,-1.548546133,-1.296275313,-1.649224162,-0.6399392084,-1.752427239,-1.477834559,-1.433437111,-1.059349157,-0.07821089241,0.08491304367,-1.04876275,-0.4737907124,-1.39454646,-1.322545678,-1.744087114,-1.785699138,-1.375343938,-1.608837184,-1.414993813,-1.533880471,-0.07684676038,-1.753780088
-1.334900314,-1.055572083,-1.399517978,-1.221220375,-1.493003501,-0.5685074513,-1.828620937,-1.486329119,-1.038283354,-1.203480154,0.04105579985,0.1015009577,-1.06540569,-0.4692222936,-1.383517009,-1.317208645,-1.740601487,-1.770904513,-1.353624386,-1.603762827,-1.388361043,-1.477384506,0.9514272587,-1.621234926
-1.334900314,-1.016957011,-1.276481787,-1.127191956,-2.008192556,-0.7528610056,-2.269266448,-2.121240232,-1.62463661,-1.575464108,-0.8508205987,-0.9053301014,-1.1317185,-0.4854753901,-1.37136158,-1.318292027,-1.735201729,-1.756199477,-1.275863422,-1.581638754,-1.351272528,-1.818523274,0.6770346761,-1.743997372
